r_A,g_r
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,0.0
0.375,0.0
0.42500000000000004,0.0
0.475,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.025,0.0
1.0750000000000002,0.0
1.125,0.0
1.1750000000000003,0.0
1.225,0.0
1.275,0.0
1.3250000000000002,0.0
1.375,0.0
1.4250000000000003,0.0006928160488710166
1.475,0.007501093622652107
1.525,0.04561261569933342
1.5750000000000002,0.19657269521894474
1.625,0.5198906934332851
1.6750000000000003,1.0945719066784025
1.725,1.8448917274452616
1.775,2.6035453220813736
1.8250000000000002,3.2246315431536225
1.875,3.630904732827259
1.9250000000000003,3.7255503298688564
1.975,3.583605413768381
2.0250000000000004,3.3394561950143284
2.075,2.9319280897240114
2.125,2.5364213660291752
2.175,2.229142337189832
2.225,1.8836903833873517
2.2750000000000004,1.5953693677178928
2.325,1.3240621858950488
2.375,1.143986457406247
2.4250000000000003,0.9958095709416059
2.475,0.8557952988101853
2.5250000000000004,0.7314529447402464
2.575,0.6510401553591759
2.625,0.5802076100928704
2.6750000000000003,0.5308399489256098
2.725,0.4716358586541156
2.7750000000000004,0.4503354998718736
2.825,0.42385232912430154
2.875,0.40392740230236096
2.9250000000000003,0.383296555082185
2.975,0.3695356083438459
3.0250000000000004,0.36237172766754655
3.075,0.3562185732237793
3.125,0.3729476381901186
3.1750000000000003,0.40338865947072705
3.225,0.42950459560438314
3.2750000000000004,0.4567619780938177
3.325,0.5098902718239213
3.375,0.5623117256570024
3.4250000000000003,0.626997352883385
3.475,0.7011298032093997
3.5250000000000004,0.7757932949380583
3.575,0.8547976607640978
3.625,0.9129248279479768
3.6750000000000003,0.9628432648274458
3.725,1.021390894174341
3.7750000000000004,1.0447676550404077
3.825,1.0660617553201301
3.875,1.0521837744308264
3.9250000000000003,1.054882413061837
3.975,1.0116643251587079
4.025,0.9882842289603679
4.075,0.963892866964443
4.125,0.9259989369240319
4.175000000000001,0.9015954116693495
4.225,0.8962093498098305
4.275,0.9101353623003305
4.325,0.9220834073755193
4.375,0.9432476498244677
4.425000000000001,0.9879005128003198
4.475,1.0551347865980472
4.525,1.1155032189749579
4.575,1.190230482193531
4.625,1.2717045726900822
4.675000000000001,1.3253628496418726
4.725,1.378846694959879
4.775,1.435500967060616
4.825000000000001,1.454421864488539
4.875,1.4689176432987887
4.925000000000001,1.4713559100595195
4.975,1.45421995819137
5.025,1.4293360663529364
5.075000000000001,1.3734831882592071
5.125,1.3222055676908684
5.175000000000001,1.2673584145948156
5.225,1.2224806368208287
5.275,1.1595507570739514
5.325000000000001,1.1287873096301133
5.375,1.085784221422228
5.425000000000001,1.0486325690009657
5.475,1.019287716095653
5.525,1.0067486902994414
5.575000000000001,0.9617369533016449
5.625,0.9303435598268147
5.675000000000001,0.9077224207344373
5.725,0.8758641825300265
5.775,0.8461665197033486
5.825000000000001,0.8103721068462608
5.875,0.7747308923806652
5.925000000000001,0.7420399195031132
5.975,0.7054747219787805
6.025,0.6660005958267269
6.075000000000001,0.6321779667618149
6.125,0.6065072357303688
6.175000000000001,0.5796629249236959
6.225,0.5504477576567859
6.275,0.5432829031784735
6.325000000000001,0.5468609982589083
6.375,0.5599333255187842
6.425000000000001,0.5737201854650426
6.475,0.6011377423499523
6.525,0.6342535074089729
6.575000000000001,0.6621824334486108
6.625,0.6923278851240463
6.675000000000001,0.7228444123043214
6.725,0.754203291198302
6.775,0.776548457469705
6.825000000000001,0.7975561568766444
6.875,0.7978748777775007
6.925000000000001,0.7885835801850731
6.975,0.7707707504002576
7.025,0.7605564694185563
7.075000000000001,0.7307251894276062
7.125,0.6973409170441326
7.175000000000001,0.6620635574848017
7.225,0.6280699055574057
7.275,0.5884106153093989
7.325000000000001,0.554649343315806
7.375,0.5217102176751306
7.425000000000001,0.48820649676123873
7.475,0.45450199218873083
7.525,0.4217167731137244
7.575000000000001,0.390500122861481
7.625,0.3499768577435401
7.675000000000001,0.301162425016748
7.725,0.2570112310279764
7.775,0.2222205132061238
7.825000000000001,0.2006208620665011
7.875,0.17955918881897664
7.925000000000001,0.16445066426464053
7.975,0.15700607629891505
