time_ps,Li_MSD_A2,Li_MSD_x_A2,Li_MSD_y_A2,Li_MSD_z_A2
0.0,0.0,0.0,0.0,0.0
0.01,0.0003506918539287213,6.225679190020093e-05,7.185991695437788e-05,0.0002165751450741424
0.02,0.002619859731019724,0.0005156001166019554,0.0005390460305724857,0.0015652135838452829
0.03,0.010660895039606403,0.002590361458497012,0.002124926933134966,0.005945606647974422
0.04,0.04291492876323429,0.014030904731092905,0.007465452836784359,0.02141857119535703
0.05,0.15094110981104936,0.056549358239679055,0.026476687649581002,0.06791506392178928
0.06,0.2561657026305078,0.0885450070054985,0.055344334678472544,0.11227636094653683
0.07,0.291235049019601,0.09106626513091992,0.07274807299673174,0.12742071089194942
0.08,0.286224038855519,0.0898061429508024,0.07409842934612539,0.12231946655859116
0.09,0.26784273633584305,0.09013257553644816,0.07173070180464892,0.10597945899474591
0.1,0.25839356000683694,0.09273364476012397,0.0736657081120345,0.09199420713467847
0.11,0.25357115976809,0.09338734611110526,0.07260710145863382,0.08757671219835099
0.12,0.2390191744151411,0.08718719478242243,0.062925852761488,0.08890612687123067
0.13,0.20745304314491775,0.07367497126534438,0.04752587466741023,0.08625219721216315
0.14,0.16682532087556587,0.06042347920394781,0.03460258799983041,0.07179925367178763
0.15,0.13893159669122204,0.057798640748420005,0.027135694727564594,0.05399726121523746
0.16,0.12596467030952374,0.05415730628605192,0.02003229027163881,0.051775073751832996
0.17,0.09616277468142025,0.034008767698749144,0.009286209677791061,0.05286779730488003
0.18,0.07403309124860981,0.02329790226936147,0.004536291450633091,0.04619889752861526
0.19,0.10759002321477229,0.039585686189038634,0.008664671676003889,0.05933966534972979
0.2,0.16406529060703332,0.06288232270110937,0.003533665554470995,0.09764930235145296
0.21,0.23211179380351968,0.07553703969566831,0.00802277916867457,0.1485519749391768
0.22,0.299383343897929,0.10079221604644834,0.028076787815602355,0.17051434003587826
0.23,0.30464337165104227,0.1383168978412122,0.03186813007325915,0.1344583437365709
0.24,0.2895474549398489,0.15637920844753597,0.029449430330258996,0.10371881616205396
0.25,0.3252039923554481,0.1602466482217129,0.042258991232726646,0.1226983529010086
0.26,0.3350056442177369,0.16116567395904027,0.043960419601954716,0.12987955065674187
0.27,0.30448011078526355,0.15710774573178388,0.034205160700991756,0.11316720435248794
0.28,0.2596351984042611,0.13076753500873275,0.03377313979169618,0.09509452360383218
0.29,0.24411832547438025,0.09145135518899727,0.0674938573993962,0.0851731128859868
0.3,0.2648466152639876,0.06353834517064663,0.11473459404128387,0.08657367605205708
0.31,0.2579259338047268,0.050138294474797084,0.12756804368056174,0.08021959564936798
0.32,0.19383006703801287,0.043904257746164244,0.09765991362872366,0.05226589566312498
0.33,0.15762660369828943,0.04726658687205745,0.06351405666305142,0.046845960163180565
0.34,0.2093206975776032,0.059903658478311146,0.052524482466525496,0.09689255663276648
0.35000000000000003,0.273633676267775,0.06519557258221963,0.05830173328236221,0.1501363704031932
0.36,0.27117489710758397,0.055059047664533844,0.07733344688452722,0.13878240255852287
0.37,0.20932355878407682,0.04159203066890296,0.08523116053626083,0.08250036757891305
0.38,0.17987586737365854,0.03558975976282821,0.07489807646314932,0.06938803114768101
0.39,0.2045736221262553,0.03405654700879765,0.06885225453708248,0.10166482058037514
0.4,0.23520792058928194,0.03642714224929205,0.07597177759423572,0.12280900074575418
