r_A,g_r,cn_int
0.025,0.0,0.0
0.075,0.0,0.0
0.125,0.0,0.0
0.175,0.0,0.0
0.225,0.0,0.0
0.275,0.0,0.0
0.325,0.0,0.0
0.375,0.0,0.0
0.425,0.0,0.0
0.475,0.0,0.0
0.525,0.0,0.0
0.5750000000000001,0.0,0.0
0.625,0.0,0.0
0.675,0.0,0.0
0.7250000000000001,0.0,0.0
0.775,0.0,0.0
0.8250000000000001,0.0,0.0
0.875,0.0,0.0
0.925,0.0,0.0
0.975,0.0,0.0
1.025,0.0,0.0
1.0750000000000002,0.0,0.0
1.125,0.0,0.0
1.1750000000000005,0.0,0.0
1.225,0.0,0.0
1.275,0.0,0.0
1.3250000000000002,0.0,0.0
1.375,0.0,0.0
1.4250000000000005,0.0,0.0
1.475,0.0,0.0
1.525,0.0,0.0
1.5750000000000002,0.0,0.0
1.625,0.0,0.0
1.6750000000000005,0.0,0.0
1.725,0.0,0.0
1.775,0.0,0.0
1.825,0.0,0.0
1.875,0.0,0.0
1.9250000000000005,0.0,0.0
1.975,0.0,0.0
2.0250000000000004,0.0,0.0
2.075,0.0001020264364456,6.451300862991828e-06
2.125,9.728189649656464e-05,1.9353917105124505e-05
2.175,0.0004178734696172,5.483621256028415e-05
2.225,0.0018634207270514,0.00021934536478420292
2.2750000000000004,0.0071296619155771,0.0008967372168811785
2.325,0.0192599709443853,0.0029676242552332584
2.375,0.0462997370342436,0.008331939896423501
2.4250000000000003,0.1064874147920174,0.021363730732658882
2.475,0.2138515468094932,0.0497982350159617
2.5250000000000004,0.3812013238188565,0.10472867346274992
2.575,0.6269136326755805,0.20146752628773235
2.625,0.95880786011721,0.3595400968574324
2.6750000000000003,1.3507096648914794,0.5985072285678213
2.725,1.770467339227598,0.9335202657685706
2.7750000000000004,2.1640464253061795,1.3713243647379487
2.825,2.523587721627901,1.9118261613220364
2.875,2.790352927686799,2.546309914326982
2.9250000000000003,2.950193922122322,3.255705266664999
2.975,2.9930742253292317,4.015422580305581
3.0250000000000004,2.939932628787735,4.79953992577395
3.075,2.8121185399459554,5.585122341039762
3.125,2.606635705701875,6.349457388569461
3.1750000000000003,2.3871062079988383,7.076684058366694
3.225,2.1475412098156563,7.758096002940074
3.2750000000000004,1.9013529220159175,8.385606206935767
3.325,1.6705192638355968,8.956324321007894
3.375,1.4659654376277511,9.472779250076801
3.4250000000000003,1.2835856930746,9.939135362098373
3.475,1.117386301178917,10.358421572037209
3.5250000000000004,0.977887139085174,10.735024845550178
3.575,0.8633849281887056,11.075522443938844
3.625,0.7582611388459097,11.383904584681574
3.675,0.6732996714370053,11.663777629073955
3.725,0.6017932082133028,11.919951151766885
3.775,0.5393626309818417,12.155460567750854
3.825,0.4819060487780001,12.371883253422423
3.875,0.4385384130891543,12.572132053735098
3.925,0.407589816079494,12.761052048962737
3.975,0.379954294613786,12.941433513602345
4.025,0.3588860065230953,13.114986094874332
4.075,0.349498206377509,13.285603285405108
4.125,0.3503455116729005,13.45838179242685
4.175000000000001,0.3496156486674797,13.635424815293968
4.225,0.3693590358432721,13.821748425314242
4.275,0.3929080751056192,14.024029967678542
4.325,0.4188806865122686,14.244553294336512
4.375,0.4646165694063802,14.490224789141893
4.425000000000001,0.5098278354189327,14.767431490120627
4.475,0.5593742688956934,15.078544353398138
4.525,0.6181504887377591,15.428931079502544
4.575,0.6786872806587819,15.823427118765055
4.625,0.7396900306317631,16.264409883770526
4.675000000000001,0.797127691123024,16.752627771110955
4.725,0.8560151724940753,17.28914207759949
4.775,0.9132858255853996,17.875614094099177
4.825000000000001,0.9664637030616392,18.51185351549479
4.875,1.004968051241099,19.19303459266547
4.925000000000001,1.0473501662816351,19.91686703602013
4.975,1.086644836758608,20.684925036717004
5.025,1.124428212825747,21.496869899142773
5.075000000000001,1.1519224213334731,22.349543594829324
5.125,1.1836208392184846,23.241810658502736
5.175000000000001,1.2155008398518043,24.176422689696572
5.225,1.2502299419474183,25.155731292083196
5.275,1.2781806936725515,26.1793074454187
5.325000000000001,1.3254482056887107,27.253576917906827
5.375,1.373024784017006,28.388078359348047
5.425000000000001,1.4220634713179967,29.585263377270145
5.475,1.459300131692686,30.842306196806774
5.525,1.5077631706431631,32.16063585200264
5.575000000000001,1.5436598767382883,33.541152346973334
5.625,1.5684397821481075,34.974552528206985
5.675000000000001,1.5784562834461386,36.449913894046446
5.725,1.5846347922632071,37.959213920615966
5.775,1.5679574437663195,39.489913979686875
5.825000000000001,1.5354586485802622,41.02298838280502
5.875,1.486276416446365,42.54148561621661
5.925000000000001,1.4213408782064798,44.02764448852583
5.975,1.3452503720359097,45.46572959790955
6.025,1.2603275291048048,46.84292165045384
6.075000000000001,1.1665079369898013,48.14704328083075
6.125,1.0650967906101816,49.36609131346761
6.175000000000001,0.9621955020793904,50.491714163098955
6.225,0.8682313018073166,51.52462148437239
6.275,0.7819810618141748,52.47091000064502
6.325000000000001,0.6987725493533936,53.33364096938616
6.375,0.6313421619285191,54.12099175251549
6.425000000000001,0.5669502303590337,54.84151067971127
6.475,0.5190237676092738,55.50478801405105
6.525,0.4858717320515108,56.128152692520445
6.575000000000001,0.4597207669714658,56.72381432613224
6.625,0.445030713972559,57.302534148914596
6.675000000000001,0.4470651579419361,57.88191852655823
6.725,0.4563822253053598,58.47756738588893
6.775,0.4727078189721012,59.0993322962603
6.825000000000001,0.5050216419415408,59.76345189727817
6.875,0.5398156648589321,60.48362935848704
6.925000000000001,0.4956761228089973,61.20742297738541
6.975,0.4857823640959891,61.903590954659464
7.025,0.5466120213410588,62.646829744669766
7.075000000000001,0.6202660090531575,63.49895199612045
7.125,0.7061623177722192,64.4813834391506
7.175000000000001,0.7956754263914693,65.60941112228396
7.225,0.8849575220640755,66.88938664817738
7.275,0.9697719443564222,68.32156486992099
7.325000000000001,1.0519013098130352,69.90420064807759
7.375,1.124836298668609,71.6315617608266
7.425000000000001,1.174334519753213,73.48083540437413
7.475,1.209372639237443,75.42400879094454
7.525,1.2161169572992845,77.42771108301156
