r_A,g_r
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,0.0
0.375,0.0
0.42500000000000004,0.0
0.475,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.025,0.0
1.0750000000000002,0.0
1.125,0.0
1.1750000000000003,0.0
1.225,0.0
1.275,0.0
1.3250000000000002,0.0
1.375,0.0
1.4250000000000003,0.0
1.475,0.0
1.525,0.0
1.5750000000000002,0.0
1.625,0.0
1.6750000000000003,0.0
1.725,0.0
1.775,0.0
1.8250000000000002,0.0
1.875,0.0
1.9250000000000003,0.0
1.975,0.0
2.0250000000000004,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.2750000000000004,0.0
2.325,0.0
2.375,0.0
2.4250000000000003,0.004594160652198579
2.475,0.033078144187082076
2.5250000000000004,0.10805584746116977
2.575,0.15890645685309165
2.625,0.4195242610127531
2.6750000000000003,0.706035338548938
2.725,1.115142404103499
2.7750000000000004,1.5700025750295297
2.825,1.8940738089981535
2.875,2.358276593187889
2.9250000000000003,2.5893847484663084
2.975,2.768650738383091
3.0250000000000004,2.6395015572327845
3.075,2.6400807571737324
3.125,2.4041165463699192
3.1750000000000003,2.093146609516699
3.225,1.7469046497416267
3.2750000000000004,1.5869182491815677
3.325,1.340386972173598
3.375,1.1278207304177141
3.4250000000000003,0.9834313749758731
3.475,0.7875363388546701
3.5250000000000004,0.7044732960975858
3.575,0.6352290547454434
3.625,0.5407267945357744
3.6750000000000003,0.537115831277152
3.725,0.4887195317016335
3.7750000000000004,0.4834426576956952
3.825,0.4487270597814774
3.875,0.41832957297832124
3.9250000000000003,0.4086163829370769
3.975,0.43003425020965025
4.025,0.4110783632329802
4.075,0.43440582074194883
4.125,0.42711429420491015
4.175000000000001,0.4316702297047597
4.225,0.4094056421714171
4.275,0.4627135292126651
4.325,0.4333005531594167
4.375,0.4594467676300674
4.425000000000001,0.49327593057910174
4.475,0.5342562823909062
4.525,0.5343902017678961
4.575,0.571823837763118
4.625,0.6087856172923162
4.675000000000001,0.6390991238253069
4.725,0.6752608480904577
4.775,0.7038510684259875
4.825000000000001,0.7868215050971586
4.875,0.7781538214557313
4.925000000000001,0.8326069781364498
4.975,0.9327543660796638
5.025,0.9838322790963456
5.075000000000001,1.1051061176989865
5.125,1.1217072709621942
5.175000000000001,1.176808253551131
5.225,1.2093175386885255
5.275,1.3064132359830747
5.325000000000001,1.301527454463349
5.375,1.3742146394851258
5.425000000000001,1.3916873871339273
5.475,1.4592195268086365
5.525,1.4298302565532852
5.575000000000001,1.4686238977739305
5.625,1.4584280297648533
5.675000000000001,1.4563314521275488
5.725,1.442957107888195
5.775,1.4229397556454102
5.825000000000001,1.4029959823945812
5.875,1.3901755546796415
5.925000000000001,1.3341037612710904
5.975,1.3690057194304681
6.025,1.276789130186633
6.075000000000001,1.1877765274202894
6.125,1.1673832733352199
6.175000000000001,1.0925796978865703
6.225,1.02071636914982
6.275,0.9489371982033632
6.325000000000001,0.9245388728350403
6.375,0.8815074129902545
6.425000000000001,0.7627968155651321
6.475,0.7362402465272212
6.525,0.6983480728637627
6.575000000000001,0.6727682323446137
6.625,0.6635749506716613
6.675000000000001,0.6585220231302634
6.725,0.6383119834821753
6.775,0.6315739387141146
6.825000000000001,0.6687550934060466
6.875,0.6599205723602594
6.925000000000001,0.6245098671427503
6.975,0.5792140313909601
7.025,0.6531170214116573
7.075000000000001,0.6479664468500155
7.125,0.701703533974661
7.175000000000001,0.7651683625216521
7.225,0.8335436402546518
7.275,0.870110380738954
7.325000000000001,0.9237316432672157
7.375,1.001653615170342
7.425000000000001,0.9938445094753786
7.475,1.0352320364798777
7.525,1.0513407493733948
7.575000000000001,1.022911316456904
7.625,1.0074490110868966
7.675000000000001,1.014316963436751
7.725,0.9647838092023105
7.775,0.9077216220968699
7.825000000000001,0.910278126810461
7.875,0.8652103570461186
7.925000000000001,0.8467992915449721
7.975,0.8079653864115928
