r_A,g_r
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.32500000000000007,0.0
0.375,0.0
0.42500000000000004,0.0
0.475,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.025,0.0
1.0750000000000002,0.0
1.125,0.0
1.1750000000000003,0.0
1.225,0.0
1.275,0.0
1.3250000000000002,0.0
1.375,0.0
1.4250000000000003,0.0
1.475,0.0
1.525,0.0
1.5750000000000002,0.0
1.625,0.0
1.6750000000000003,0.0
1.725,0.0
1.775,0.0
1.8250000000000002,0.0
1.875,0.0
1.9250000000000003,0.0
1.975,0.0
2.0250000000000004,0.0
2.075,0.0
2.125,0.0
2.175,0.0
2.225,0.0
2.2750000000000004,0.0
2.325,0.0
2.375,0.0
2.4250000000000003,0.0
2.475,0.0
2.5250000000000004,0.0
2.575,0.0
2.625,0.0
2.6750000000000003,0.0
2.725,0.0
2.7750000000000004,0.0
2.825,0.0
2.875,0.0
2.9250000000000003,0.0
2.975,0.18925727208351895
3.0250000000000004,0.6406843824603067
3.075,3.7201137941993507
3.125,9.090825053361973
3.1750000000000003,16.11803291886482
3.225,26.412678778547
3.2750000000000004,33.49908856486614
3.325,36.43848704116776
3.375,41.249064821649775
3.4250000000000003,38.62559154501256
3.475,33.08323818932956
3.5250000000000004,29.25303619042259
3.575,24.180982220409742
3.625,18.802078083762954
3.6750000000000003,13.20884854347499
3.725,9.657565247968535
3.7750000000000004,7.934147146888174
3.825,5.0375613954068745
3.875,2.7888638198554747
3.9250000000000003,1.957149713981879
3.975,1.113130405115238
4.025,0.31018489071535227
4.075,0.35305641610862504
4.125,0.29532809933871107
4.175000000000001,0.09609893803122119
4.225,0.09383789210583313
4.275,0.09165571505171002
4.325,0.04477439049313972
4.375,0.04375683501238737
4.425000000000001,0.0
4.475,0.041823092813429524
4.525,0.040903941369888334
4.575,0.04001476065610983
4.625,0.03915426169307428
4.675000000000001,0.0
4.725,0.0
4.775,0.0
4.825000000000001,0.0
4.875,0.0
4.925000000000001,0.0
4.975,0.0
5.025,0.0
5.075000000000001,0.0
5.125,0.0
5.175000000000001,0.0
5.225,0.0
5.275,0.0
5.325000000000001,0.0
5.375,0.0
5.425000000000001,0.0
5.475,0.0
5.525,0.0
5.575000000000001,0.0
5.625,0.0
5.675000000000001,0.0
5.725,0.0
5.775,0.0
5.825000000000001,0.0
5.875,0.0
5.925000000000001,0.0
5.975,0.0
6.025,0.0
6.075000000000001,0.0
6.125,0.0
6.175000000000001,0.0
6.225,0.0
6.275,0.0
6.325000000000001,0.0
6.375,0.0
6.425000000000001,0.0
6.475,0.0
6.525,0.0
6.575000000000001,0.0
6.625,0.0
6.675000000000001,0.0
6.725,0.0
6.775,0.0
6.825000000000001,0.0
6.875,0.0
6.925000000000001,0.0
6.975,0.0
7.025,0.0
7.075000000000001,0.0
7.125,0.0
7.175000000000001,0.0
7.225,0.0
7.275,0.0
7.325000000000001,0.0
7.375,0.0
7.425000000000001,0.0
7.475,0.0
7.525,0.0
7.575000000000001,0.0
7.625,0.0
7.675000000000001,0.0
7.725,0.0
7.775,0.0
7.825000000000001,0.0
7.875,0.0
7.925000000000001,0.0
7.975,0.0
