r_A,g_r
0.03333333333333333,0.0
0.1,0.0
0.16666666666666669,0.0
0.23333333333333334,0.0
0.3,0.0
0.3666666666666667,0.0
0.43333333333333335,0.0
0.5,0.0
0.5666666666666667,0.0
0.6333333333333333,0.0
0.7,0.0
0.7666666666666666,0.0
0.8333333333333334,0.0
0.9,0.0
0.9666666666666667,0.0
1.0333333333333332,0.0
1.1,0.0
1.1666666666666665,0.0
1.2333333333333334,0.0
1.2999999999999998,0.0
1.3666666666666667,0.0
1.4333333333333331,0.0
1.5,0.0
1.5666666666666667,0.0
1.6333333333333333,0.0
1.7000000000000002,0.0
1.7666666666666666,0.0
1.8333333333333335,0.0
1.9,0.0
1.9666666666666668,0.0
2.033333333333333,0.0
2.0999999999999996,0.0
2.166666666666667,0.0
2.2333333333333334,0.0
2.3,0.0
2.3666666666666667,0.0
2.4333333333333336,1.6018911306666137
2.5,4.073560725452523
2.5666666666666664,14.208482172948797
2.6333333333333333,13.714181189206005
2.7,3.8348484535596032
2.7666666666666666,1.695697697749251
2.833333333333333,0.621862535258443
2.9,0.0
2.966666666666667,0.0
3.033333333333333,0.0
3.0999999999999996,0.0
3.166666666666667,0.0
3.2333333333333334,0.0
3.3,0.0
3.3666666666666667,0.0
3.4333333333333336,0.0
3.5,0.0
3.5666666666666664,0.0
3.6333333333333333,0.0
3.7,0.0
3.7666666666666666,0.0
3.833333333333333,0.0
3.9,0.0
3.966666666666667,0.0
4.033333333333333,0.0
4.1,0.0
4.166666666666666,0.0
4.233333333333333,0.0
4.3,0.0
4.366666666666667,0.0
4.433333333333334,0.2540041515463576
4.5,0.7396019632523677
4.566666666666666,1.9629863780803614
4.633333333333333,4.057986696637071
4.7,3.2430875647116455
4.766666666666667,1.40621944988064
4.833333333333333,1.6241382076921809
4.9,0.6237810350895561
4.966666666666667,0.20238262438084986
5.033333333333333,1.5764566182401152
5.1,2.7063399446245877
5.166666666666666,1.1034048040144526
5.233333333333333,1.37623961395411
5.3,1.48401667665325
5.366666666666667,0.3640107743936785
5.433333333333334,0.0
5.5,0.0
5.566666666666666,0.0
5.633333333333333,0.0
5.7,0.7682898815752875
5.766666666666667,1.4562199341598239
5.833333333333333,2.749052932631888
5.9,1.8805575495888727
5.966666666666667,1.7037975075765146
6.033333333333333,1.906362614141098
6.1,2.0594637797499975
6.166666666666666,1.7985609558746785
6.233333333333333,0.5396525309785805
6.3,0.9433783020134163
6.366666666666667,0.7820874254921527
6.433333333333334,0.8142120943665156
6.5,0.5450240041685711
6.566666666666666,1.02895341277875
6.633333333333333,0.45951267526986317
6.7,0.0
6.766666666666667,0.0
6.833333333333333,0.0
6.9,0.0
6.966666666666667,0.0
7.033333333333333,0.0
7.1,0.0
7.166666666666666,0.5977882094429512
7.233333333333333,1.445580800755097
7.3,1.667558333059033
7.366666666666666,1.3983257567141476
7.433333333333334,1.3326977480451745
7.5,0.7189015232526756
7.566666666666666,0.7106493541622642
7.633333333333333,0.48837498532514473
7.7,0.09262288264716241
7.766666666666667,0.289671532160506
7.833333333333333,0.6386804043250538
7.9,0.9399199723014787
7.966666666666667,0.845595004658608
