feature,gain_importance,perm_importance,shap_mean_abs
d_band,0.55056375,0.157729546341197,0.14187248
atomic_number,0.34570342,0.10267157019582092,0.09943837
vdw_radius,0.039252106,0.017289686831221167,0.019762078
covalent_radius,0.021924006,0.014562391648826657,0.01231076
is_transition_metal,0.009278238,0.0053619130569441155,0.006778328
atomic_mass,0.02350746,0.0009560986176552782,0.0025392817
oxidation_state,0.008417859,0.001017369169344817,0.0017355547
is_lanthanide,0.0013531614,0.0005036379685384843,0.001144298
is_actinide,0.0,0.0,0.0
